gly-pro|Incorrrect atom types
1-chloro-2-nitrobenzene|Incorrrect atom types
ala-gly|Incorrrect atom types
dithiol-1-ium|Incorrrect atom types
2-isocyanopropane|Incorrrect atom types
5-iminopyrrol-3-ol|Incorrrect atom types
oxidooxyphosphonamidous-acid|Incorrrect atom types
o-dinitrobenzene|Incorrrect atom types
2-bromooxirene|Incorrrect atom types
gly-ala|Incorrrect atom types
ethenylidenephosphane|Incorrrect atom types
N-methoxy-N--methylethanimidamide|Incorrrect atom types
ala-ala|Incorrrect atom types
2-isocyano-2-methylpropane|Incorrrect atom types
chloro-hydroxy-dioxidophosphanium|Incorrrect atom types
3-nitrobenzotrifluoride|Incorrrect atom types
thiamethoxam|Incorrrect atom types
pyridinium|Incorrrect atom types
24-dinitrotoluene|Incorrrect atom types
34-dinitrotoluene|Incorrrect atom types
1-phosphatricyclo-3.1.0.02-6-hex-3-ene|Incorrrect atom types
imidogen|Incorrrect atom types
123-pentatriene|Incorrrect atom types
1H-imidazole-5-carbaldehyde|Incorrrect atom types
N-propan-2-ylidenemethanimidamide|Incorrrect atom types
3-ethyloxirene-2-carbaldehyde|Incorrrect atom types
1-methylpyridinium|Incorrrect atom types
2-phosphatricyclo-3.1.0.02-6-hex-3-ene|Incorrrect atom types
3-sulfonylcyclopropene|Incorrrect atom types
beta-truxene|Incorrrect atom types
nitro-oxido-azanium|Incorrrect atom types
3-methylidenepyrrol-2-amine|Incorrrect atom types
thiopyrylium|Incorrrect atom types
1H-pyrazole-4-carbaldehyde|Incorrrect atom types
hydronium|Incorrrect atom types
2-iodooxirene|no ring formed
2-bromooxirene|no ring formed
3-ethyloxirene-2-carbaldehyde|no ring formed
4-oxo-1-3-2-4lambda5-dioxathiaphosphetan-4-amine|extra incorrect bond
2-amino-2-oxo-1-3-2lambda5-dioxaphosphetane-4-thione|extra incorrect bond
methylidyne-oxo-lambda-5-phosphane|extra incorrect bond
3-sulfonylcyclopropene|extra incorrect bond
nitro-oxido-azanium|missing bond
imidogen|no support in force field
neopentane|inconsisten coordinates in log file
hydroxyazaniumylidynemethane|no support for C.
